Item,Category,Qty Needed,Package Size,Packages to Buy,Price per Package,Total Price,Purchase Link,Notes
ESP32-S3 Dev Board (N16R8, External Antenna),Sensor/Control,4,5-pack,1,$29.99,$29.99,LINK NEEDED - AITRIP 5PCS N16R8 Antenna Base (grab exact URL from your cart),3 for wearable sleeve islands (hand/forearm/bicep) + 1 for command center. 1 spare included in pack.
MPU6050 6-Axis IMU,Sensor,5,5-pack,1,$13.99,$13.99,https://www.amazon.com/dp/B07M98PKT4,3 required (1 per sleeve island) + 2 spares. 1 spare may be mounted on the physical robot arm for pose comparison.
DS3218 PRO Servo (20kg, 180 Control Angle),Actuator,6,1 unit,6,$16.99,$101.94,https://www.amazon.com/dp/B07KRMJTH5,2x shoulder (ball/socket) + 1x elbow + 2x wrist + 1x claw. Confirmed 180 degree + genuine PRO gear spec.
PCA9685 16-Channel PWM Servo Driver,Control,1,2-pack,1,$8.99,$8.99,https://www.amazon.com/gp/product/B01D1D0CX2,Only 1 needed; pack includes 1 spare.
Electrolytic Capacitor Assortment Kit,Power,1,1 kit,1,$9.99,$9.99,https://www.amazon.com/dp/B0C1VBXCQM,Smooths current dips on servo power rail near PCA9685 V+/GND.
6V 10A (60W) DC Switching Power Supply,Power,1,1 unit,1,$16.99,$16.99,https://www.amazon.com/dp/B01GHN2S7Q,MUST select the 60W/10A variant at checkout. Powers servo rail directly; also feeds buck converter for logic 5V.
2S 7.4V LiPo Battery Pack (800mAh),Power,3,2-pack,2,$23.99,$47.98,https://www.amazon.com/dp/B0BWRV94SC,3 required (1 per sleeve island) + 1 spare. Lightweight pick for wearable comfort.
PETG Filament 1.75mm - Sky Blue,Print Material,1,1kg spool,1,$13.99,$13.99,https://www.amazon.com/dp/B0FDVJ1M2W,iSANMATE Sky Blue HF PETG. Print settings: 220-250C nozzle / 70-80C bed.
PETG Filament 1.75mm - Orange,Print Material,1,1kg spool,1,$13.99,$13.99,LINK NEEDED - iSANMATE Orange (same product line as Sky Blue - select Orange variant),Second color for two-tone build (blue arm segments / orange claw-gripper accent).
M3/M4/M5 Stainless Screw+Nut+Washer Kit (Countersunk),Fastener,1,330pcs,1,$8.58,$8.58,LINK NEEDED - 330pcs Countersunk Hexagon Socket Kit by wugongshan (grab exact URL from your cart),304 stainless. Countersunk heads sit flush - important for moving 3D printed joints.
2.4GHz WiFi Antenna 3dBi (U.FL to SMA),Wireless,4,4-pack,1,$11.99,$11.99,LINK NEEDED - Geekstory 4PCS 2.4G 3dBi U.FL to Female SMA (grab exact URL from your cart),3dBi chosen deliberately - lower gain / more omnidirectional performs better on a rotating wearable than high-gain directional antennas. Confirmed straight SMA (not RP-SMA).
Mini MP1584EN DC-DC Buck Converter,Power,4,5-pack,1,$8.69,$8.69,https://www.amazon.com/dp/B00LTQU4EQ,3 for sleeve islands (7.4-8.4V to 5V) + 1 for command center (6V servo rail to 5V logic).
SSD1306 0.96in I2C OLED Display,Display,2,2-pack,1,$9.99,$9.99,https://www.amazon.com/dp/B0DXVVJZ3S,Blue variant. 1 mounted on wearable, 1 on robot base for live diagnostics.
Resistor Assortment Kit (1/4W),Sensor Support,1,760pcs,1,$6.99,$6.99,https://www.amazon.com/dp/B0BFRNTVZF,Used to build the analog voltage divider circuit for the flex sensor.
Flex Sensor 2.2in,Sensor,1,1 unit,1,$10.59,$10.59,https://www.amazon.com/dp/B0H1CLTHNV,Mounted on index finger of wearable sleeve; drives claw open/close.
IP2326 2S LiPo USB-C Charger Module,Power,3,2-pack,2,$14.99,$29.98,https://www.amazon.com/dp/B0FYXCV7W3,3 required (1 per battery) + 1 spare. Confirmed genuine 2S balancing (chip only balances in 2S mode, not 3S).
Solderless Breadboard + Jumper Wire Kit (4 boards + 120 wires),Prototyping,1,1 kit,1,$6.29,$6.29,https://www.amazon.com/dp/B0GVD11LSS,Only 2 breadboards required; kit's included 120 jumper wires cover the dupont wire need too (separate wire kit removed from BOM).
18 AWG Inline Fuse Holder (5-pack w/ 5A-10A fuses),Safety,1,5-pack,1,$7.49,$7.49,https://www.amazon.com/dp/B0DT4NCD5V,Wired in series on servo rail positive line between power supply and PCA9685 V+. Use 10A fuse to match supply rating.
Knit Elastic Band Spool (4in wide, Black),Wearable,1,3 yards,1,$9.99,$9.99,https://www.amazon.com/dp/B071G3K17C,Sleeve construction material for the wearable arm segments.
